S.no,Project,Year,Lender,$ Allocation,Country,Invested On
867,Bui Hydropower Project 400MW Additional Finance Loan 1(Total 749.6mn),2012,CHEXIM,$75M,Ghana,Power
868,Garissa Solar Power Project 50MW,2015,CHEXIM,$136M,Kenya,Power
869,National Broadband Telecommunication Network - Phase II (including South Atlantic Inter Link (SAIL) undersea cable and Zamengoe data center),2015,CHEXIM,$337M,Cameroon,ICT
870,Digital Migration Phase II and III - StarTimes Portion,2017,StarTimes Group (StarTimes),$41M,Zambia,ICT
871,Angola E-Government Project for Cnti - Project 1,2011,CHEXIM,$14M,Angola,ICT
872,Accra One-stop Center for Public Services,2013,CHEXIM,$1M,Ghana,ICT
873,"Lundas Sul and Norte, Dundo and Saurimo Water Systems",2008,CHEXIM,$32M,Angola,Water
874,Matama-Abu Hamed-El Daba Water Supply Project,2006,CHEXIM,$27M,Sudan,Water
875,"Housing Projects in Malanje - 500 Units, Moxico - 450 Units, and Bié - 500 Units",2015,ICBC,$80M,Angola,Other social
876,Social Housing in Ndouo,2014,CHEXIM,$11M,Republic of Congo,Other social
877,Gaborone Multipurpose Youth Center,2007,CIDCA,$11M,Botswana,Other social
878,"Construction of Integrated Infrastructure, Malanje, Phase 1 Stage 2",2014,CDB,$12M,Angola,Multisector
879,"Adama, Ethio-Hunan Equipment Production Cooperation Industrial Park",2017,CHEXIM,$262M,Ethiopia,Industry
880,Zambia Army 7th Regiment Barracks and Headquarter in Choma Province,2018,ICBC,$210M,Zambia,Defense
881,"Afreximbank: Reduce Cost of Funds and Diversify Books, Investor Type and Tenor, China Guaranteed Loan 2 Tranche II",2019,CHEXIM,$75M,Regional,Unallocated
882,Unknown,2010,CIDCA,$11M,Gabon,Unallocated
883,Zero-interest loan from 2018 FOCAC package,2018,CIDCA,$29M,Sudan,Unallocated
884,Various Projects (Loan 2013/01),2013,CIDCA,$12M,Cameroon,Unallocated
885,Development Projects,2013,CIDCA,$8M,Mauritius,Unallocated
886,Agricultural Equipment Purchase,2007,CHEXIM,$20M,Angola,Agriculture
887,3-Year Syndicated Term Loan to support foreign currency position - CCB,2004,CCB,$31M,South Africa,Budget
888,Neto University Campus Completion of the Buildings,2005,CHEXIM,$44M,Angola,Education
889,Hospital of Malange,2005,CHEXIM,$26M,Angola,Health
890,"Luanda, Benguela, Huambo, Uíge, Malange Urban Public Transportation Vehicles Purchase - 5,500 Units",2007,CHEXIM,$396M,Angola,Transportation
891,"Kibwezi-Mutomo-Kitui-Migwani Road Upgrade, 472km, Phase I",2016,CHEXIM,$225M,Kenya,Transportation
892,Bole Airport Expansion,2013,CHEXIM,$239M,Ethiopia,Transportation
893,Four Airport Terminals Expansion Ancillary Project,2019,CHEXIM,$184M,Nigeria,Transportation
894,TAZARA 14th Protocol - Engine and Wagon Purchase,2010,CIDCA,$39M,Zambia,Transportation
895,"National Route 1, Pointe-Noire-Brazzaville Road, Phase II (Dolisie-Brazzaville, 376km)",2012,CHEXIM,$1.2B,Republic of Congo,Transportation
896,Western Region and Cape Coast Inner City Roads 32.19 km,2018,Sinohydro Ltd.,$40M,Ghana,Transportation
897,"RN5 Bukavu - Ngangezi - Kamanyola Upgrade, 55km, Phase I (5/55km)",2010,CHEXIM,$15M,Democratic Republic of Congo,Transportation
898,"Sennar Bridge 3,025 meters",2010,CHEXIM,$59M,Sudan,Transportation
899,"Benguela, Huambo and Bié MT and BT Networks, Part 1 - Huambo",2007,CHEXIM,$50M,Angola,Power
900,"355km Genale Dawa III-Yirgalem II-Wolayita Sodo II-Hawassa II transmission lines and substation, 400KV",2016,CHEXIM,$249M,Ethiopia,Power
901,Electric generators (CNEEN Co.),2005,CHEXIM,$6M,Sudan,Power
902,"Kafue Gorge Lower Hydropower Project, 750MW",2017,"MixedCN: Export-Import Bank of China (CHEXIM), Industrial and Commercial Bank of China Ltd. (ICBC)",$1.5B,Zambia,Power
903,Upper West Electrification Extension,2012,China International Water & Electric Corporation (CWE),$162M,Ghana,Power
904,Garsen - Hola - Garrissa Transmission Line,2017,CHEXIM,$90M,Kenya,Power
905,Project for the Rehabilitation of the CRTV,2016,CHEXIM,$62M,Cameroon,ICT
906,"Angola E-Government Project for 13 ""Cap. Prov."" - Project 4",2011,CHEXIM,$36M,Angola,ICT
907,Dedicated Security Information System Phase II,2013,CHEXIM,$123M,Ghana,ICT
908,"Water Supply Systems in Catete and Uíge Rehabilitation and Reinforcement, Phase 2",2011,CHEXIM,$30M,Angola,Water
909,Wad Medani Water Treatment Plant,2006,CHEXIM,$29M,Sudan,Water
910,"Sambizanga, Social Houses in Luanda - 3000 Units",2016,CDB,$37M,Angola,Other social
911,"Construction of Integrated Infrastructure, Vila do Soyo, Phase 1 Stage 2",2014,CDB,$17M,Angola,Multisector
912,Defense Project,2018,CHEXIM,$30M,Zambia,Defense
913,Unknown,2010,CIDCA,$12M,Gabon,Unallocated
914,Various Projects (Loan 2013/02),2013,CIDCA,$17M,Cameroon,Unallocated
915,Economic and Technical cooperation,2014,CIDCA,$8M,Mauritius,Unallocated
916,Refrigerated Trucks and Isothermal Vans Purchase,2007,CHEXIM,$36M,Angola,Agriculture
917,3-Year Syndicated Term Loan to support foreign currency position - BoC,2004,BoC,$11M,South Africa,Budget
918,"Sumbe, Institute of Technology Construction",2006,CHEXIM,$9M,Angola,Education
919,Hospital of Benguela,2005,CHEXIM,$36M,Angola,Health
920,"Rehabilitation of the Streets in the Cities of Caxito (20km), Uíge (22km), Negage (10km)",2007,CHEXIM,$51M,Angola,Transportation
921,Construction of Nairobi Inland Container Depot and Access Roads,2017,CHEXIM,$115M,Kenya,Transportation
922,"Pushkin Square - Gottera Square/Bole Airport Road, 4.3km",2013,CIDCA,$59M,Ethiopia,Transportation
923,"Mongu-Tapo Section, Mongu Kalabo Road, 34km",2011,CHEXIM,$244M,Zambia,Transportation
924,Oyo Harbor Phase 1,2013,CHEXIM,$63M,Republic of Congo,Transportation
925,Upgrading of Selected Feeder Roads in Ashanti and Western Regions 68 km,2018,Sinohydro Ltd.,$45M,Ghana,Transportation
926,"RN2 Crossing to Butembo, Phase I (7.5km)",2010,CHEXIM,$23M,Democratic Republic of Congo,Transportation
927,Economic-Technical Projects / Atbara steel bridge,2011,CIDCA,$5M,Sudan,Transportation
928,"Lubando MT and BT Networks, Phase 2",2007,CHEXIM,$23M,Angola,Power
929,Addis Ababa Power Network Rehabilitation and Upgrading Project,2016,CHEXIM,$165M,Ethiopia,Power
930,North Khartoum Power Station/Martyr Dr. Mahmoud Sharif Bbhari phase III/Unit D power plant expansion,2005,CHEXIM,$175M,Sudan,Power
931,"300km Kabwe - Pensulo Second Transmission Line, 330kV",2017,CHEXIM,$114M,Zambia,Power
932,Northern Region Rural Electrification,2012,ICBC,$102M,Ghana,Power
933,Kamburu - Embu - Kibirigwi - Thika 220 KV Transmission Line & 220/132 Kv Substation & 132/66 kv Substation at Uplands,2017,CHEXIM,$90M,Kenya,Power
934,National Extension of Intelligent Urban Video Surveillance System - Phase I,2018,BoC,$42M,Cameroon,ICT
935,Angola E-Government project for Luanda - Project 2,2011,CHEXIM,$22M,Angola,ICT
936,Integrated National Security Communications Enhancement Network (ALPHA) Project - Phase II,2019,CHEXIM,$199M,Ghana,ICT
937,"Water Supply Systems in Tômbwa, Rehabilitation and Reinforcement, Phase 2",2011,CHEXIM,$31M,Angola,Water
938,Kosti Water Project,2006,CHEXIM,$30M,Sudan,Water
939,Malanje Youth House,2017,CDB,$38M,Angola,Other social
940,"Construction of Integrated Infrastructure, Viana, Phase 1",2014,CDB,$37M,Angola,Multisector
941,"Defense Project - 2,000 Units Housing for Zambian National Service",2018,ICBC,$210M,Zambia,Defense
942,Unknown,2010,CIDCA,$12M,Gabon,Unallocated
943,Economic and Technical cooperation,2015,CIDCA,$7M,Mauritius,Unallocated
944,"Purchase of Tractors, Repair of Machines, Construction of Workshops, Training of Mecanagro Technicians",2011,CHEXIM,$33M,Angola,Agriculture
945,5-Year Syndicated Term Loan to support foreign currency position and repay previous loans - BoC,2005,BoC,$12M,South Africa,Budget
946,"HBO (2) and HLA (2), 4 Secondary Schools; HBO, HLA and Bié, 3 Institutes of Technology; HBO, Bié, K. Kubango and Cunene, 4 Institutes of Business Administration",2006,CHEXIM,$62M,Angola,Education
947,Regional Hospital of Lubango,2005,CHEXIM,$43M,Angola,Health
948,Cabinda Province to Zaire Province Road (Soyo Road?),2007,CHEXIM,$3M,Angola,Transportation
949,"Nairobi Western Bypass Road Construction, 16.8km",2018,CHEXIM,$162M,Kenya,Transportation
950,"Dire Dawa-Dewalle Road, 220 km",2014,CHEXIM,$187M,Ethiopia,Transportation
951,TAZARA 15th Protocol - Purchase of Locomotives,2012,CIDCA,$43M,Zambia,Transportation
952,Oyo Harbor Phase 2,2013,CHEXIM,$23M,Republic of Congo,Transportation
953,Rehabilitation of Oda-Ofoase-Abirem Road 38 km,2018,Sinohydro Ltd.,$34M,Ghana,Transportation
954,N'Djili Airport Runway Refurbishment,2012,CHEXIM,$60M,Democratic Republic of Congo,Transportation
955,"Implementing 26,000 New Household Connections and Expansion of the SE-PS05 Catete Road (Rehabilitation and Expansion of LDA's Electrical Network-PhaseII)",2007,CHEXIM,$10M,Angola,Power
956,"Aysha Wind Farm II, 120MW",2017,CHEXIM,$219M,Ethiopia,Power
957,Mini diesel power generators,2005,CIDCA,$4M,Sudan,Power
958,"Luapula, Musonda Falls Hydropower Plant Rehabilitation and Upgrading, 10MW",2017,ICBC,$35M,Zambia,Power
959,Bui Hydropower Project 400 MW Additional Finance Loan 2 (Total 749.6mn),2012,CHEXIM,$76M,Ghana,Power
960,Nairobi City Center E.H.V and 66 KV Network Upgrade and Reinforecement Projec,2017,CHEXIM,$128M,Kenya,Power
961,National Extension of Intelligent Urban Video Surveillance System - Phase II,2019,BoC,$42M,Cameroon,ICT
962,4 Telecommunication Projects,2012,BoC,$110M,Angola,ICT
963,Ghana Rural Telephony and Digital Inclusion Project,2020,CHEXIM,$158M,Ghana,ICT
964,"Lunda-Norte and Lunda-Sul Water Supply Rehabilitation and Reinforcement, Part 1",2011,CHEXIM,$25M,Angola,Water
965,Supply of Hdpe Pipes,2006,CHEXIM,$17M,Sudan,Water
966,"Construction of Integrated Infrastructure, Caxito, Phase 1",2014,CDB,$55M,Angola,Multisector
967,Defense Project,2018,CHEXIM,$171M,Zambia,Defense
968,Unknown,2011,CIDCA,$14M,Gabon,Unallocated
969,Unknown,2016,CIDCA,$7M,Mauritius,Unallocated
970,"Purchase of 435 Isothermal Refrigerator Trucks for General, Frozen, Dry, or Salted Fish Cargo",2011,CHEXIM,$12M,Angola,Agriculture
971,3-Year Syndicated Term Loan to support foreign currency position and repay previous loans - BoC,2005,BoC,$12M,South Africa,Budget
972,"Luanda, Bengo, Cabinda and Namibe, 4 Institutes of Technology; Luanda (2), Benguela (1), Zaire (1), and Namibe (1), 5 Institutes of Business Administration; Luanda (2), Benguela (2) and Namibe (2) 6 Secondary Schools",2006,CHEXIM,$84M,Angola,Education
973,Central Hospital of Huambo,2005,CHEXIM,$29M,Angola,Health
974,Saurimo's Airport Aerogare Construction,2010,CHEXIM,$28M,Angola,Transportation
975,Bole Airport Expansion Passenger Terminal - Additional Finance,2016,CHEXIM,$117M,Ethiopia,Transportation
976,"Mansa to Luwingu Road, 175km",2013,CDB,$176M,Zambia,Transportation
977,Hohoe-Jasikan-Dodi Pepesu Road 66.4 km,2018,Sinohydro Ltd.,$49M,Ghana,Transportation
978,"Lwambo - Mitwaba - Manono - Kalemie Road Rehabilitation, Phase I (171.6/466km) - Dirt Road",2014,CHEXIM,$30M,Democratic Republic of Congo,Transportation
979,"Expansion of the Network of MT, BT and IP in the city of Caxito and Rehabilitation of the Quifangondo-Cazenga Line (Reconstruction of 60Kv Transmission Line and Quif.-Mabubas Substation)",2007,CHEXIM,$21M,Angola,Power
980,"28.4km Transmission Lines to Bole and Kilinto Industrial Zones in Addis Ababa, 230KV, Kilinto and Bole Lemi Power plant substations",2017,CHEXIM,$83M,Ethiopia,Power
981,Rabak-Obied Transmission Line 340km,2006,China Machinery Engineering Corporation (CMEC),$81M,Sudan,Power
982,Connection of Lundazi and Chama to the National Grid,2017,ICBC,$37M,Zambia,Power
983,"Rural Electrification Programme CWE - Electrification of 1,033 communities in Ashanti, Brong Ahafo, Eastern, Volta and Western Regions - Phase 1 (495 communities) under Self-Help Electrification Programme (SHEP) Phase V",2016,ICBC,$88M,Ghana,Power
984,Kenya Power Transmission Expansion Project,2019,CHEXIM,$97M,Kenya,Power
985,"Water Supply Systems in Tômbwa Rehabilitation and Reinforcement, Phase 2",2012,CHEXIM,$20M,Angola,Water
986,"Nyala Water Supply - water pipes, water spare parts, water tanks, and unspecified project costs",2008,CHEXIM,$51M,Sudan,Water
987,Lar do Patriota Basic Infrastructure Phase II,2016,CDB,$87M,Angola,Multisector
988,Defense Project,2019,BoC,$30M,Zambia,Defense
989,Unknown,2015,CIDCA,$8M,Gabon,Unallocated
990,"Purchase of 10 Line Fishing Boats, 1 Freezer Ship, 5 Patrol Boats, 1 Boat",2011,CHEXIM,$16M,Angola,Agriculture
991,Recapitalization and Increase of Lending Capacity,2009,CCB,$50M,South Africa,Budget
992,"Lunda Sul, Lunda Norte and Uíge, 3 Institutes of Technology; Uíge, 1 Agrarian Institute; Uíge and Moxico, 2 Institutes of Business Administration; Uíge, 1 Secondary School",2006,CHEXIM,$61M,Angola,Education
993,"Huambo, Huíla and Benguela, 3 Municipal Hospitals; Benguela, 2 Health Care Centers; Huíla, 2 Health Care Centers",2005,CHEXIM,$39M,Angola,Health
994,Replacement of 1500 Cars Destroyed in the War,2011,CHEXIM,$25M,Angola,Transportation
995,"Addis-Adama Expressway Phase II: Akaki-IT Park (Goro) Road, 14.5-km; Akaki-Lebu Road, 13.6-km",2016,CHEXIM,$190M,Ethiopia,Transportation
996,"Mbala to Nakonde Road, 172km",2013,CHEXIM,$196M,Zambia,Transportation
997,Accra Intelligent Traffic Management System and Road Completion,2019,CDB,$211M,Ghana,Transportation
998,"Goma: Bunagana - Rutshuru - Goma Road, 15km",2015,CHEXIM,$10M,Democratic Republic of Congo,Transportation
999,"Luanda MT and BT Networks, Phase 3",2008,CHEXIM,$26M,Angola,Power
1000,"Woldiya II & Combolcha III Power Supply Sations, 400KV",2017,CHEXIM,$90M,Ethiopia,Power
1001,Solar Energy Project in Northern Kordofan (phase I?),2006,CHEXIM,$5M,Sudan,Power
1002,"Lusiwasi Upper Hydropower, 15MW - Bridging Finance",2018,China Machinery Engineering Corporation,$15M,Zambia,Power
1003,Self-Help Electrification Programme (SHEP) in Five Regions HUNAN,2016,ICBC,$85M,Ghana,Power
1004,"Luanda, Water Distribution Networks",2013,ICBC,$130M,Angola,Water
1005,Port Sudan Water Project,2009,China National Machinery Industry Corporation (Sinomach),$463M,Sudan,Water
1006,Multisector,2017,CDB,$2.2B,Angola,Multisector
1007,Chalala Barracks,2019,"Other CN Financing: Jiangxi Bank Co., Ltd.",$187M,Zambia,Defense
1008,"Irrigation Canal in Calueque, Cunene, Phase I",2011,CDB,$49M,Angola,Agriculture
1009,Liquidity financing,2009,CCB,$19M,South Africa,Budget
1010,"Huambo and Bié, Complementary Actions in the Agrarian Technical Schools",2007,CHEXIM,$27M,Angola,Education
1011,"HBO, Malange, BLA, and Huíla Regional Hospitals",2007,CHEXIM,$68M,Angola,Health
1012,"Rehabilitation, Modernization of Workshops, Angola's Railways",2011,CHEXIM,$83M,Angola,Transportation
1013,"Kality Ring Road Interchange-Tulu Dimtu Roundabout Project, 20.6km",2016,CHEXIM,$103M,Ethiopia,Transportation
1014,"Lusaka Urban Road (L400) Upgrade, 400km Phase I",2013,CHEXIM,$296M,Zambia,Transportation
1015,Rolling stock procurement (35 new standard gauge locomotives and rolling stock),2020,Dongfang Electric,$244M,Ghana,Transportation
1016,Kolwezi Road Rehabilitation and Modernization,2015,CHEXIM,$6M,Democratic Republic of Congo,Transportation
1017,"Malange MT and BT Networks, Phase 2",2008,CHEXIM,$27M,Angola,Power
1018,SP-2 Diesel Generator Power Plant,2006,"China National Electric Engineering Co., Ltd. (CNEEC)",$8M,Sudan,Power
1019,"Kabwe - Pensulo Second Transmission Line, 330kV - Bridging Finance",2018,China Jiangxi Corporation for International Economic and Technical Cooperation (CJIC),$17M,Zambia,Power
1020,"Electrification of 1,033 communities in Ashanti, Brong Ahafo, Eastern, Volta and Western Regions - Phase 2 (582 communities) under Self-Help Electrification Programme (SHEP) Phase V",2020,ICBC,$95M,Ghana,Power
1021,"Luanda, Marçali Water Distribution Centre Rehabilitation",2013,CDB,$54M,Angola,Water
1022,Dali water project,2010,CHEXIM,$24M,Sudan,Water
1023,"Irrigation Canal in Calueque, Cunene, Phase II",2011,CDB,$14M,Angola,Agriculture
1024,Liquidity financing,2010,CCB,$97M,South Africa,Budget
1025,"Késsua Malange, Complementary Actions in the Agrarian Technical Schools",2007,CHEXIM,$11M,Angola,Education
1026,Complements to 7 Municipal Hospitals and 9 Health Care Centers,2007,CHEXIM,$65M,Angola,Health
1027,Catamaran Boats Purchase - 4 Units,2011,CHEXIM,$70M,Angola,Transportation
1028,"Modjo-Hawassa Expressway, Arsi Negele-Hawassa Section, 52km",2017,CHEXIM,$171M,Ethiopia,Transportation
1029,Lusaka International Airport (Kenneth Kaunda International Airport) Expansion,2014,CHEXIM,$360M,Zambia,Transportation
1030,Mbuji Mayi to Mwene Ditu Road Resurfacing,2015,CHEXIM,$15M,Democratic Republic of Congo,Transportation
1031,"Lundas Sul and Norte, Dundo, and Saurimo, MT and BT Networks",2008,CHEXIM,$46M,Angola,Power
1032,Solar Energy Project in Northern Kordofan (phase II?),2007,CN Gov,$7M,Sudan,Power
1033,"Kwanza Sul, Porto Amboim Water Supply System Improvement",2015,CDB,$51M,Angola,Water
1034,"Purchase of Tractors, Repair of Machines, Construction of Workshops, Training of Mecanagro Technicians",2011,CDB,$33M,Angola,Agriculture
1035,Land Bank Syndicated Loan- CCB,2016,CCB,$20M,South Africa,Budget
1036,"Kwanza Sul and Kwanza Norte and Sumbe, Complementary Actions in the Agrarian Technical Schools",2007,CHEXIM,$34M,Angola,Education
1037,Additional Values to the Municipal Hospital of Caculama,2007,CHEXIM,$10M,Angola,Health
1038,Purchase of Railway Rolling Stock,2011,CHEXIM,$86M,Angola,Transportation
1039,TAZARA,2015,CIDCA,$22M,Zambia,Transportation
1040,"Kalemie Road Rehabilitation and Modernization, Phase I",2015,CHEXIM,$15M,Democratic Republic of Congo,Transportation
1041,"Luanda MT and BT Networks, Phase 4",2008,CHEXIM,$130M,Angola,Power
1042,North Khartoum Electrical Substation and Other Substations/Transmission Lines,2008,"Tebian Electric Apparatus Co., Ltd. (TBEA)",$41M,Sudan,Power
1043,"Huambo City, Water Supply Network Construction, Lot 1 & 2, Phase II",2015,CDB,$139M,Angola,Water
1044,"Malange, Pedras Negras Farm",2011,CDB,$117M,Angola,Agriculture
1045,Land Bank Syndicated Loan- BOC Facility A,2016,BoC,$6M,South Africa,Budget
1046,"Cacuaco, Sambizanga, Viana, Cazenga, Benguela, and Lobito, Complementary Actions in the Technical Schools",2007,CHEXIM,$27M,Angola,Education
1047,"Luanda-Soyo Highway Rehabilitation, Nzeto-Soyo Section, 141km",2011,CHEXIM,$85M,Angola,Transportation
1048,"Earth-moving Machinery for Road Repairs/Contruction Purchase, Phase II",2015,Aviation Industry Corporation of China (AVIC),$50M,Zambia,Transportation
1049,Kabalo Bridge Construction and Modernization Project,2015,CHEXIM,$6M,Democratic Republic of Congo,Transportation
1050,Lomaum Hydropower Project 65MW,2010,ICBC,$60M,Angola,Power
1051,White Nile Electrification Project (AI-Duwaim/Ad Douiem Electricity Transmission Project),2009,China Machinery Engineering Corporation (CMEC),$215M,Sudan,Power
1052,"Cabinda Water Supply System, including the Sassa-Zau Water Treatment Plant, Part 1",2016,CDB,$76M,Angola,Water
1053,"Calueque, Cunene, Irrigation Canal, Phase II",2012,CDB,$34M,Angola,Agriculture
1054,Land Bank Syndicated Loan- BOC Facility B,2016,BoC,$6M,South Africa,Budget
1055,"Cacuaco, Nova Vida, Sapú, and Benguela, Complementary Actions in the Secondary Schools",2007,CHEXIM,$9M,Angola,Education
1056,"Luanda-Soyo Highway, Bridge over M'Bridge River, Package 4",2011,CHEXIM,$53M,Angola,Transportation
1057,"Mansa to Luwingu Road, 175km Additional Loan",2016,CDB,$30M,Zambia,Transportation
1058,Kitanda - Ankoro Road Rehabilitation and Modernization Project (70km),2015,CHEXIM,$5M,Democratic Republic of Congo,Transportation
1059,"MT/BT Networks - Lunda-Norte and Lunda-Sul Rehabilitation and Expansion, Phase 1",2011,CHEXIM,$21M,Angola,Power
1060,Al Fulah Gas-Power Plant 300 MW,2009,CHEXIM,$612M,Sudan,Power
1061,"Cabinda Water Supply System, Part 2",2016,CDB,$76M,Angola,Water
1062,"Uige, Sanza Pombo Farm",2012,CDB,$129M,Angola,Agriculture
1063,"Huíla, Complementary Actions in the Secondary School and Technical School; Malange, 2 Secondary Schools",2007,CHEXIM,$13M,Angola,Education
1064,"Luanda-Soyo Highway, Package 5 (Km 8 to Km 104)",2011,CHEXIM,$46M,Angola,Transportation
1065,"Ndola International Airport Phase I, Greenfield Project",2016,CHEXIM,$338M,Zambia,Transportation
1066,"Uvira Road Rehabilitation and Modernization Project, Phase I (5 km)",2015,CHEXIM,$5M,Democratic Republic of Congo,Transportation
1067,MT and BT Networks of Mbanza Congo Rehabilitation,2011,CHEXIM,$4M,Angola,Power
1068,South Kordofan Transmission Lines (Al Fulah Thermal Plant's Tranmission Line?),2010,CHEXIM,$233M,Sudan,Power
1069,"Lucapa, Lunda-Norte Water Supply System",2016,CDB,$6M,Angola,Water
1070,"Cuando Cubango, Longa Farm",2012,CDB,$77M,Angola,Agriculture
1071,"Cabinda, Complementary Actions in the Technical School",2007,CHEXIM,$13M,Angola,Education
1072,"Luanda-Soyo Highway, Package 6 (Km 104 to Km 149)",2011,CHEXIM,$46M,Angola,Transportation
1073,Lusaka Urban Road Rehabilitation Phase II (L400 Phase II),2016,CHEXIM,$313M,Zambia,Transportation
1074,"RN2 Crossing to Butembo, Phase II (7.5km)",2015,CHEXIM,$11M,Democratic Republic of Congo,Transportation
1075,Mabubas Hydropower Project Expansion 10MW,2012,China Energy Engineering Corporation (CEEC),$22M,Angola,Power
1076,Upper Atbara Hydropower Project - 135 MW,2011,CN Gov,$105M,Sudan,Power
1077,"Kiwaba Nzoje, Malanje Water Supply System",2016,CDB,$7M,Angola,Water
1078,"Bie, Camacupa Farm",2012,CDB,$89M,Angola,Agriculture
1079,"Cabinda Campus, 11 de Novembro University, Phase II",2016,CDB,$50M,Angola,Education
1080,"Luanda-Soyo Highway, Infrastructure Work for the Nzeto-Soyo Section, Package 7",2011,CHEXIM,$46M,Angola,Transportation
1081,"Ndola City Roads Construction and Upgrade, 42.9km",2016,Poly Technologies Inc.,$50M,Zambia,Transportation
1082,Feasibility Study for the Rehabilitation and Modernization Project of the Mwene Ditu - Nguba Road,2016,CHEXIM,$2M,Democratic Republic of Congo,Transportation
1083,"Soyo-Kapary Transmission, 400kV and Transformation Project",2013,CHEXIM,$1.0B,Angola,Power
1084,"Cacula, Huila Water Supply System",2016,CDB,$17M,Angola,Water
1085,"Moxico, Camaiangala Farm",2013,CDB,$79M,Angola,Agriculture
1086,"Camama - Road Infrastrcture, Disbursement 1",2011,CDB,$86M,Angola,Transportation
1087,"Ndola International Airport, 15%",2017,ICBC,$60M,Zambia,Transportation
1088,Nzolana Avenue Rehabilitation and Anti-Erosion Control,2016,CHEXIM,$39M,Democratic Republic of Congo,Transportation
1089,"Luachimo Hydropower Project, 36MW",2013,ICBC,$180M,Angola,Power
1090,"Jamba, Huila Water Supply System",2016,CDB,$6M,Angola,Water
1091,Guimba Farm (Cuimba Farm),2014,CHEXIM,$68M,Angola,Agriculture
1092,"Camama - Road Infrastructure, Disbursement 2",2011,CDB,$31M,Angola,Transportation
1093,"Kitwe, Chingola, and Mufulira, Copperbelt Province Urban Road Lot 1, 152km",2018,CHEXIM,$197M,Zambia,Transportation
1094,Kabongo-Dianda - Mukwende Road Rehabilitation Project (350 km),2016,CHEXIM,$6M,Democratic Republic of Congo,Transportation
1095,Hydropower in Chiumbe-dala 12.42MW and 99.6km Transmission Line in Luena 110kV,2014,CHEXIM,$112M,Angola,Power
1096,"Cangandala, Malanje Water Supply System",2016,CDB,$7M,Angola,Water
1097,"Cunene, Manquete Farm",2014,CDB,$86M,Angola,Agriculture
1098,"Road Rehabilitation in Nharea, Bie, Stecol Corporation (中水电十三局), 12km",2015,CDB,$20M,Angola,Transportation
1099,"Lusaka Urban Roads (L400) Upgrade, 400km, Phase III, Eximbank part",2018,CHEXIM,$205M,Zambia,Transportation
1100,Kamina - Kabongo Road Rehabilitation Project (230 km),2016,CHEXIM,$6M,Democratic Republic of Congo,Transportation
1101,Soyo I Combined Cycle Power Plant Phase I 750MW,2015,ICBC,$838M,Angola,Power
1102,"Muxima, Luanda Water Supply System",2016,CDB,$11M,Angola,Water
1103,Nzeto-Soyo Road,2015,CHEXIM,$509M,Angola,Transportation
1104,"Lusaka Urban Road (L400) Upgrade, 400km, Phase III, BoC part",2018,BoC,$36M,Zambia,Transportation
1105,Kikwit - Idiofa Road Rehabilitation and Modernization Project (70 km),2016,CHEXIM,$10M,Democratic Republic of Congo,Transportation
1106,Caculo Cabaca Hydropower Project 2170MW and transmission lines,2016,"MixedCN: Industrial and Commercial Bank of China Ltd. (ICBC), Export-Import Bank of China (CHEXIM), Bank of China (BoC), China Construction Bank (CCB), China Minsheng Bank, Ping An Bank Co., Ltd., Bank of China (BoC)",$3.7B,Angola,Power
1107,"Quela, Malanje Water Supply System",2016,CDB,$13M,Angola,Water
1108,Caio Port in Cabinda & Sinosure Premium,2016,CHEXIM,$932M,Angola,Transportation
1109,"Kawambwa to Mporokoso (D019) Road Upgrade, 122km",2018,CHEXIM,$121M,Zambia,Transportation
1110,Kisangani Road Rehabilitation and Modernization Project (10.914 km),2016,CHEXIM,$15M,Democratic Republic of Congo,Transportation
1111,"Huambo City, Electrification of 17,500 Home Connections",2016,CDB,$47M,Angola,Power
1112,M´Banza Congo Water Supply System,2016,CDB,$30M,Angola,Water
1113,"Caconda-Ngalo River Road in Huíla, EN110 and 280 Road Rehabilitation, Phase I",2016,CDB,$46M,Angola,Transportation
1114,Manono Road Rehabilitation and Modernization Project (5 km),2016,CHEXIM,$10M,Democratic Republic of Congo,Transportation
1115,"Luanda, Electrification of 300,000 Home Connections",2016,CDB,$452M,Angola,Power
1116,"Bibala, Namibe, Water Supply System",2016,CDB,$9M,Angola,Water
1117,"Ngalo River-Quipungo Road in Huíla, Rehabilitation of EN110 and 280, Phase II",2016,CDB,$51M,Angola,Transportation
1118,Ankoro - Manono Road Rehabilitation and Modernization Project (115km),2016,CHEXIM,$5M,Democratic Republic of Congo,Transportation
1119,"Lubango/Matala, Huila, Electrification of 12,500 Home Connections",2016,CDB,$47M,Angola,Power
1120,"Tchindjendje, Huambo, Water Supply System",2016,CDB,$19M,Angola,Water
1121,"Lunda-Sul Road Rehabilitation, Xinge-Lubalo Connection",2016,CDB,$48M,Angola,Transportation
1122,Kalemie Airport Terminal Construction,2017,CHEXIM,$6M,Democratic Republic of Congo,Transportation
1123,"Cabinda City, Electrification of 20,000 Household Connections",2016,CDB,$47M,Angola,Power
1124,"Ecunha, Huambo, Water Supply System",2016,CDB,$33M,Angola,Water
1125,"Cuanza-Sul EN120 Road Rehabilitation Lot 4, Alto Dondo / Waco Kungo / Bridge of the River Keve, Lot 04 - São Mamede / Waco Kungo, 57.5 km",2016,CDB,$56M,Angola,Transportation
